;             Ministério da Educação;;;;;;;;;;;;;;;;;;;;;;
;                     Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
                                                                                                    Taxa de Distorção Idade-Série por Município - 2014;;;;;;;;;;;;;;;;;;;;;;;
Taxa de Distorção Idade-Série, por Dependência Administrativa e Localização, nos Níveis de Ensino Fundamental de 8 e 9 anos e Médio, segundo a Região Geográfica, Unidades da Federação e seus respectivos Municípios em 2014. ;;;;;;;;;;;;;;;;;;;;;;;
Ano;Região;UF;Código do Município;Nome do Município;Localização;Rede;Taxa de Distorção Idade-Série - Ensino Fundamental de 8 e 9 anos;;;;;;;;;;;;Taxa de Distorção Idade-Série - Ensino Médio;;;;
;;;;;;;Total Fundamental;1º ao 5º Ano;6º ao 9º Ano;1º Ano;2º Ano;3º Ano;4º Ano;5º Ano;6º Ano;7º Ano;8º Ano;9º Ano;Total Médio; 1ª Série; 2ª Série; 3ª Série; 4ª Série
;;;;;;;;;;;;;;;;;;;;;;;
ano;NO_REGIAO;SIGLA;PK_COD_MUNICIPIO;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
2014;Sudeste;RJ;3300209;ARARUAMA;Total;Municipal;36.7;29.3;47.3;7.8;11.7;32.5;41;43.6;54.6;48;41.5;38.2;67.2;81.8;50;71.4;--
2014;Sudeste;RJ;3300209;ARARUAMA;Total;Privada;8.3;6;11.4;5.4;6.9;6.4;6.6;4.5;8.7;13.4;13.3;10.5;10.7;12.1;12.8;6.1;--
2014;Sudeste;RJ;3300209;ARARUAMA;Total;Publico;36.9;29.3;47.3;7.8;11.7;32.5;41;43.6;54.6;48;41.5;40.4;41.4;44.1;42.4;36.4;--
2014;Sudeste;RJ;3300209;ARARUAMA;Rural;Total;39.8;32.7;56.1;10;11.8;33.3;43.4;51.5;61.9;58;53.5;45.1;43.6;42;46.6;43.1;--
2014;Sudeste;RJ;3300209;ARARUAMA;Rural;Estadual;35.9;--;35.9;--;--;--;--;--;--;--;--;35.9;43.6;42;46.6;43.1;--
2014;Sudeste;RJ;3300209;ARARUAMA;Rural;Municipal;39.9;32.7;57.2;10;11.8;33.3;43.4;51.5;61.9;58;53.5;48.5;--;--;--;--;--
2014;Sudeste;RJ;3300209;ARARUAMA;Rural;Publico;39.8;32.7;56.1;10;11.8;33.3;43.4;51.5;61.9;58;53.5;45.1;43.6;42;46.6;43.1;--
2014;Sudeste;RJ;3300209;ARARUAMA;Urbana;Total;30;23.1;38.6;6.8;10.4;27.2;33.2;32.6;45.5;40.1;33.4;32.1;33.6;36.6;34.6;28.2;--
2014;Sudeste;RJ;3300209;ARARUAMA;Urbana;Estadual;49.4;--;49.4;--;--;--;--;--;--;--;--;49.4;40.7;43.6;41.9;35.1;--
2014;Sudeste;RJ;3300209;ARARUAMA;Urbana;Municipal;36.1;28.4;46;7.3;11.6;32.3;40.3;41.5;53.4;46.7;40.2;37;67.2;81.8;50;71.4;--
2014;Sudeste;RJ;3300209;ARARUAMA;Urbana;Privada;8.3;6;11.4;5.4;6.9;6.4;6.6;4.5;8.7;13.4;13.3;10.5;10.7;12.1;12.8;6.1;--
2014;Sudeste;RJ;3300209;ARARUAMA;Urbana;Publico;36.4;28.4;46.1;7.3;11.6;32.3;40.3;41.5;53.4;46.7;40.2;39.8;41.3;44.3;42.1;35.7;--
2014;Sudeste;RJ;3300225;AREAL;Total;Total;29;21.1;38.4;0.7;4.8;25.6;36.6;29.5;44.7;38.4;33.8;35;31;35.7;29.9;27;--
2014;Sudeste;RJ;3300225;AREAL;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;31;35.7;29.9;27;--
2014;Sudeste;RJ;3300225;AREAL;Total;Municipal;30;22.4;38.4;0.8;5.1;27.5;37.6;31.6;44.7;38.4;33.8;35;--;--;--;--;--
2014;Sudeste;RJ;3300225;AREAL;Total;Privada;3.3;3.3;--;--;--;5.9;12.5;--;--;--;--;--;--;--;--;--;--
